leaf_stage,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
1,-0.039819334,1.4491518,-0.3298988,-0.048413537,1.0078278,0.07078491,-0.145246,-0.7955977,-0.24307151,1.6225965,1.008553,1.6229088,-0.08327511,0.20100257,0.059828863,-0.5388337,-1.0944834,-0.4438911,0.059605446
1,-0.46908268,-1.0551544,-0.49222347,-0.065780826,-0.40492007,0.07030172,-0.0706066,0.34643817,-0.102233835,0.11919764,-0.01847769,-0.13498963,-0.23989327,-0.08046497,0.0767939,-0.05159647,-0.18393864,-0.13086978,0.11596332
1,-0.50012463,-0.8247496,0.360475,-0.050713837,0.4948092,0.06503733,-0.512505,-0.04064156,0.04464744,-0.9638431,-0.44436294,0.010146704,-0.2585824,1.7124561,0.0506149,5.232905,-0.23660557,0.21513847,0.039759684
1,0.11484435,-0.33871603,0.7670288,-0.10136812,1.3954009,0.07575534,-0.3765727,0.79130304,0.06507576,-0.12628208,-0.19735573,0.004649015,-0.29179883,-0.1750333,0.04113527,0.57713115,0.7226375,-0.29552093,0.056475054
1,-0.29509485,-0.25650457,1.3760476,0.088935204,1.0982963,,-0.27408904,1.4241449,0.11604863,0.4331879,0.2667352,-0.13204561,-0.8047747,0.025875699,0.094156705,-0.63634115,2.0446281,-0.31794533,0.032766327
1,0.07733862,3.7475948,1.8566909,-0.08074503,0.32345536,0.068688266,-1.0954262,1.1515983,-0.09905918,-0.5568574,-0.64053947,-0.11235714,-0.16385475,-0.42642808,0.059939615,1.5053105,1.2312033,0.329433,0.11386461
1,-0.4250929,-0.5727966,-1.2765199,-0.08813177,-0.10737817,0.068788074,-0.8465035,-1.0703498,-0.18918826,1.4478502,0.6662723,-0.037830282,-0.57538694,-0.1046506,0.08012047,0.88476646,-1.0832803,-0.09560414,0.10316451
1,0.4926752,0.48502097,0.07867762,-0.07355918,-0.3979929,0.067306906,-0.37370574,0.01904384,0.115135856,-0.7199653,0.7156568,-0.13593508,-1.0461583,-0.45630753,0.07606963,0.37946612,-0.4186719,-0.048076726,0.043819144
1,0.29343814,-0.34564704,-0.010459309,-0.10084138,0.84454596,0.071762316,-0.30947593,0.35748774,0.18088478,0.2229308,-0.043989245,-0.064624436,-0.40524027,-0.5778196,0.06474925,0.06757522,0.06050154,-0.46981195,0.15156928
1,-0.20672138,0.48493546,0.76640666,-0.06806582,0.8041061,0.07074962,-0.5720791,0.48532602,0.21381289,0.27712488,0.10776791,-0.15105902,-0.25161707,0.2793462,0.10590938,-0.7514732,-0.2914421,-0.07439733,0.10596161
1,0.06924266,-0.8827758,-0.90782475,-0.1021442,-0.349457,0.0678831,-0.40290532,-0.6455433,-0.18453212,-1.1774935,-0.7348771,-0.1443721,-0.7846941,-0.5808141,,-0.09556013,-0.46937707,-0.57705754,0.08891857
1,-0.4558359,-0.78123915,-0.7534133,-0.06983757,-0.16269216,0.06596095,-1.0743005,-0.9899201,-0.010400456,-0.32182634,-0.26815876,0.21993053,-0.5738582,-0.47366816,0.061520685,0.6349077,-0.97873604,0.09290455,0.07609542
1,0.82757145,2.4552052,2.5870948,-0.07305185,1.1990128,0.069165945,-0.96028566,0.19809827,-0.029973296,-0.66310656,0.002744243,0.21270008,-0.4186418,-0.40866056,0.074581146,-0.7176558,-0.14926977,0.25056326,0.04947712
1,-0.44763452,-0.96597344,3.2795472,-0.09052594,1.3578836,0.0686161,0.08206358,1.2653123,0.21109943,0.061299145,-0.37025928,-0.039061476,-0.1743094,0.5072285,0.08693232,2.504285,0.95368165,-0.019305646,0.06240038
1,-0.29390264,-0.21732241,0.72451955,0.002748583,0.6870649,0.06751424,-0.004320487,-0.17993551,0.27284813,-0.13535999,0.14659429,-0.18937114,-0.6304174,-0.15405452,0.039301865,2.065852,-0.48337656,-0.13152383,0.055037543
1,0.24189477,1.5494168,0.108102255,-0.061524812,0.54770917,0.07393449,-0.41684026,0.63149714,0.25535008,0.65415347,0.11306836,-0.10486932,0.6741518,-0.20000201,0.07864134,1.1310649,0.42789388,0.35091534,0.03351339
